ImageNumber,ObjectNumber,FileName_DNA,PathName_DNA,AreaShape_Area,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_Extent,AreaShape_FormFactor,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,AreaShape_Zernike_9_9,Children_Depositions_Count,Number_Object_Number
1,1,GtDeer_treatment_septum_4x_29.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,443824,443824,607690,607690,1020,1020,809,809,113,113,139,139,577.5545080932983,577.5545080932983,466.7289849129385,466.7289849129385,1.2219441413886896,1.2219441413886896,448968,448968,0.6713565970899706,0.6713565970899706,751.7275222462849,751.7275222462849,1,1,0.7303460646053086,0.7303460646053086,0.8183680138304366,0.8183680138304366,877.8204894853524,877.8204894853524,907.2733876842194,907.2733876842194,315.9572755927611,315.9572755927611,116.36436205376742,116.36436205376742,103.81233067415451,103.81233067415451,638.865120979618,638.865120979618,650.5830332510728,650.5830332510728,-88.51957414862486,-88.51957414862486,2610.5739520663055,2610.5739520663055,0.9885426132820156,0.9885426132820156,0.686360835163886,0.686360835163886,0.05938604695780033,0.05938604695780033,0.178466950031027,0.178466950031027,0.06797957926809324,0.06797957926809324,0.014207043873376247,0.014207043873376247,0.007876497038652678,0.007876497038652678,0.04354658454890402,0.04354658454890402,0.014939980447261313,0.014939980447261313,0.02236365865879517,0.02236365865879517,0.027781531820888338,0.027781531820888338,0.010105138421702891,0.010105138421702891,0.010637597685732891,0.010637597685732891,0.005598446420386897,0.005598446420386897,0.019199849651888007,0.019199849651888007,0.0032209464397518115,0.0032209464397518115,0.009128162229285355,0.009128162229285355,0.0037839520958018926,0.0037839520958018926,0.006963274970581349,0.006963274970581349,0.00643957968724418,0.00643957968724418,0.00456609451883859,0.00456609451883859,0.004604402601577082,0.004604402601577082,0.010137415770530164,0.010137415770530164,0.007628903971186658,0.007628903971186658,0.0034654780147817515,0.0034654780147817515,0.006789849404865496,0.006789849404865496,0.013206668356222421,0.013206668356222421,0.008352885898262243,0.008352885898262243,0.0048903264823885,0.0048903264823885,0.00422554292435589,0.00422554292435589,0.0014423683426656561,0.0014423683426656561,3073,1
1,2,GtDeer_treatment_septum_4x_29.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,679,679,891,891,124,124,790,790,97,97,757,757,110.40795287187039,110.40795287187039,773.2150220913107,773.2150220913107,1.1625761792863656,1.1625761792863656,710,710,0.6576192616729754,0.6576192616729754,29.40288507740653,29.40288507740653,1,1,0.7620650953984287,0.7620650953984287,0.8601586870753183,0.8601586870753183,34.37830056797879,34.37830056797879,34.9857113690718,34.9857113690718,12.36931687685298,12.36931687685298,4.851095558266294,4.851095558266294,4.123105625617661,4.123105625617661,24.914978715294172,24.914978715294172,25.89890834370837,25.89890834370837,15.4992197186644,15.4992197186644,99.59797974644667,99.59797974644667,0.956338028169014,0.956338028169014,0.7063150742444245,0.7063150742444245,0.14529695034922088,0.14529695034922088,0.11200472179485993,0.11200472179485993,0.0480433073315036,0.0480433073315036,0.010263194830504687,0.010263194830504687,0.007968431297428113,0.007968431297428113,0.005750051373663996,0.005750051373663996,0.037028858267385036,0.037028858267385036,0.028603105536823156,0.028603105536823156,0.02503057594133369,0.02503057594133369,0.007256021345610159,0.007256021345610159,0.008812512014961537,0.008812512014961537,0.012655990774225937,0.012655990774225937,0.0022788073751600743,0.0022788073751600743,0.008501683039266997,0.008501683039266997,0.01114198570057945,0.01114198570057945,0.0029179418161697575,0.0029179418161697575,0.012009821866353194,0.012009821866353194,0.011447003635606521,0.011447003635606521,0.008367083563489069,0.008367083563489069,0.008176312096444932,0.008176312096444932,0.009511846414455192,0.009511846414455192,0.005058442046764337,0.005058442046764337,0.0038611445382679163,0.0038611445382679163,0.007734513229440865,0.007734513229440865,0.006254760954641285,0.006254760954641285,0.0032496445973202205,0.0032496445973202205,0.0018922269913115332,0.0018922269913115332,0.0032258763005580744,0.0032258763005580744,0.00400259740218133,0.00400259740218133,4,2
1,3,GtDeer_treatment_septum_4x_29.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,345,345,462,462,171,171,829,829,150,150,807,807,159.97971014492754,159.97971014492754,817.336231884058,817.336231884058,1.046441836309873,1.046441836309873,358,358,0.4659418560223055,0.4659418560223055,20.958712816717327,20.958712816717327,1,1,0.7467532467532467,0.7467532467532467,0.9556192855652221,0.9556192855652221,22.298930644756012,22.298930644756012,21.95449840010015,21.95449840010015,9.848857801796104,9.848857801796104,3.743462112221561,3.743462112221561,3.1622776601683795,3.1622776601683795,19.091883092036785,19.091883092036785,19.73043591150741,19.73043591150741,33.43811221328749,33.43811221328749,67.35533905932738,67.35533905932738,0.9636871508379888,0.9636871508379888,0.9113436575386538,0.9113436575386538,0.04208293769756589,0.04208293769756589,0.06934958591914198,0.06934958591914198,0.04934019205161885,0.04934019205161885,0.022655653283714782,0.022655653283714782,0.01582766044663131,0.01582766044663131,0.04061148230740619,0.04061148230740619,0.027557884326140435,0.027557884326140435,0.008022112314063301,0.008022112314063301,0.004294825276656858,0.004294825276656858,0.006388445873026854,0.006388445873026854,0.004028618286651051,0.004028618286651051,0.01535605722525646,0.01535605722525646,0.009574687138447183,0.009574687138447183,0.012794782424787316,0.012794782424787316,0.004074726292265216,0.004074726292265216,0.009275824123165032,0.009275824123165032,0.008452540150213622,0.008452540150213622,0.006005494387277275,0.006005494387277275,0.0008573954425422812,0.0008573954425422812,0.0014363799145892817,0.0014363799145892817,0.0007779195806031778,0.0007779195806031778,0.010794288069746465,0.010794288069746465,0.0024979735864275212,0.0024979735864275212,0.005768621404133907,0.005768621404133907,0.009552085841053241,0.009552085841053241,0.005852370203175971,0.005852370203175971,0.0035833359301093008,0.0035833359301093008,0.0030699185739771193,0.0030699185739771193,0.0020949178568597307,0.0020949178568597307,2,3
1,4,GtDeer_treatment_septum_4x_29.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,86,86,140,140,1111,1111,843,843,1104,1104,823,823,1107.9418604651162,1107.9418604651162,834.8837209302326,834.8837209302326,1.653956718416242,1.653956718416242,94,94,0.9521450726449374,0.9521450726449374,10.464157913908982,10.464157913908982,1,1,0.6142857142857143,0.6142857142857143,0.6046107427512112,0.6046107427512112,19.96037521868212,19.96037521868212,19.6468827043885,19.6468827043885,3.1622776601683795,3.1622776601683795,1.6348651587677396,1.6348651587677396,1.4142135623730951,1.4142135623730951,6.0,6.0,6.100818095328454,6.100818095328454,-8.523813387057436,-8.523813387057436,42.27817459305203,42.27817459305203,0.9148936170212766,0.9148936170212766,0.2836751317285596,0.2836751317285596,0.07000821135835636,0.07000821135835636,0.08904370624808979,0.08904370624808979,0.08067297786211435,0.08067297786211435,0.01800835920373701,0.01800835920373701,0.035595851629865255,0.035595851629865255,0.054096400440633914,0.054096400440633914,0.03350599508663171,0.03350599508663171,0.03580115476096109,0.03580115476096109,0.016242147517076123,0.016242147517076123,0.010466745454250376,0.010466745454250376,0.020303726624785495,0.020303726624785495,0.015042989604298762,0.015042989604298762,0.028754702144833902,0.028754702144833902,0.011587173401282333,0.011587173401282333,0.014378500360507106,0.014378500360507106,0.009565098934346952,0.009565098934346952,0.012908983869313778,0.012908983869313778,0.005114274006646489,0.005114274006646489,0.011330878207562697,0.011330878207562697,0.022388441053360533,0.022388441053360533,0.0039009420296286946,0.0039009420296286946,0.013784879776966914,0.013784879776966914,0.004682283391097043,0.004682283391097043,0.004755928321041795,0.004755928321041795,0.006724846649259791,0.006724846649259791,0.005259187889193942,0.005259187889193942,0.008912129811354058,0.008912129811354058,0.002805505418131755,0.002805505418131755,0.005095937579652856,0.005095937579652856,0,4
2,1,GtDeer_treatment_septum_4x_37.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,169,169,232,232,1179,1179,73,73,1171,1171,44,44,1175.1183431952663,1175.1183431952663,56.76331360946745,56.76331360946745,1.7267235036633442,1.7267235036633442,177,177,0.9492476249821729,0.9492476249821729,14.668929172241665,14.668929172241665,1,1,0.728448275862069,0.728448275862069,0.5791315157744954,0.5791315157744954,27.115172235297457,27.115172235297457,28.0,28.0,4.0,4.0,2.085759433175908,2.085759433175908,2.0,2.0,7.0,7.0,8.528527604301761,8.528527604301761,2.3093056572449115,2.3093056572449115,60.556349186104036,60.556349186104036,0.9548022598870056,0.9548022598870056,0.274461075331942,0.274461075331942,0.06147566486586334,0.06147566486586334,0.10549566511068367,0.10549566511068367,0.05047904177343204,0.05047904177343204,0.062047040600687324,0.062047040600687324,0.024890934526980824,0.024890934526980824,0.016379299970428123,0.016379299970428123,0.024730525495773543,0.024730525495773543,0.021083055311901067,0.021083055311901067,0.03762763021291197,0.03762763021291197,0.031277147093171566,0.031277147093171566,0.012880488820542454,0.012880488820542454,0.007482293654950232,0.007482293654950232,0.002658803248716783,0.002658803248716783,0.007639780333937758,0.007639780333937758,0.011688529376241251,0.011688529376241251,0.01364139743500485,0.01364139743500485,0.01710222448002241,0.01710222448002241,0.016727439200195173,0.016727439200195173,0.007700774077310531,0.007700774077310531,0.00417428682929362,0.00417428682929362,0.0077157385651504375,0.0077157385651504375,0.004553865818913209,0.004553865818913209,0.0024349585279900506,0.0024349585279900506,0.00747614051117432,0.00747614051117432,0.0012805028732275569,0.0012805028732275569,0.0051440283515640575,0.0051440283515640575,0.007652839362805099,0.007652839362805099,0.009913282736088484,0.009913282736088484,0.004903140428757773,0.004903140428757773,1,1
2,2,GtDeer_treatment_septum_4x_37.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,945727,945727,1316463,1316463,1076,1076,1514,1514,143,143,103,103,607.6221235092156,607.6221235092156,785.4409105376076,785.4409105376076,3.0016518235659113,3.0016518235659113,1002034,1002034,0.7655276610242068,0.7655276610242068,1097.3317706709086,1097.3317706709086,-1,-1,0.7183847931920608,0.7183847931920608,0.3331498983822904,0.3331498983822904,1404.7545800818696,1404.7545800818696,1433.3352713165193,1433.3352713165193,314.0,314.0,96.60565351210414,96.60565351210414,88.29496021857646,88.29496021857646,930.6126645863181,930.6126645863181,903.8232890344899,903.8232890344899,-7.3261631172209745,-7.3261631172209745,5972.662622758373,5972.662622758373,0.9438072959600173,0.9438072959600173,0.586111618644285,0.586111618644285,0.019928575280848893,0.019928575280848893,0.18674542799239308,0.18674542799239308,0.08289516159199563,0.08289516159199563,0.00652471147708788,0.00652471147708788,0.004963047091142811,0.004963047091142811,0.02298613514894226,0.02298613514894226,0.027122197617585195,0.027122197617585195,0.02631071693399967,0.02631071693399967,0.009038899137739915,0.009038899137739915,0.006674167479151804,0.006674167479151804,0.005100602982666924,0.005100602982666924,0.028141338365153062,0.028141338365153062,0.0188193165742238,0.0188193165742238,0.008641685267432283,0.008641685267432283,0.016638896648340968,0.016638896648340968,0.0026707727695574083,0.0026707727695574083,0.0030969210235309397,0.0030969210235309397,0.005290598811374616,0.005290598811374616,0.0014125690747114807,0.0014125690747114807,0.0013714114136751695,0.0013714114136751695,0.005073450067795169,0.005073450067795169,0.021553086074264528,0.021553086074264528,0.0044281214049825286,0.0044281214049825286,0.007683364064563005,0.007683364064563005,0.00439188149630747,0.00439188149630747,0.008110533627648448,0.008110533627648448,0.0008521090560818968,0.0008521090560818968,0.0036969505069245957,0.0036969505069245957,0.001862326289172548,0.001862326289172548,1526,2
2,3,GtDeer_treatment_septum_4x_37.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,598,598,816,816,1062,1062,1524,1524,1028,1028,1500,1500,1045.6137123745818,1045.6137123745818,1512.3461538461538,1512.3461538461538,1.171846407503443,1.171846407503443,621,621,0.7694531295516913,0.7694531295516913,27.59342761875783,27.59342761875783,1,1,0.7328431372549019,0.7328431372549019,0.8533541542619457,0.8533541542619457,34.79343971341509,34.79343971341509,33.734255586866,33.734255586866,11.0,11.0,4.450253615222199,4.450253615222199,4.061552812808831,4.061552812808831,21.726354566715067,21.726354566715067,22.22268410939585,22.22268410939585,-74.40603846340224,-74.40603846340224,93.84062043356593,93.84062043356593,0.9629629629629629,0.9629629629629629,0.66682844346411,0.66682844346411,0.04459698989454534,0.04459698989454534,0.16431409174707418,0.16431409174707418,0.10599437001117086,0.10599437001117086,0.012267015882852644,0.012267015882852644,0.010759365159579676,0.010759365159579676,0.01252923772321146,0.01252923772321146,0.013621629692015455,0.013621629692015455,0.01569244451096122,0.01569244451096122,0.006316039507632091,0.006316039507632091,0.017903229977469515,0.017903229977469515,0.015697253109843653,0.015697253109843653,0.01589249370685424,0.01589249370685424,0.02526203040195188,0.02526203040195188,0.013631881600140736,0.013631881600140736,0.003990299414242055,0.003990299414242055,0.0053851460122959155,0.0053851460122959155,0.00399147082399334,0.00399147082399334,0.0055805843146297,0.0055805843146297,0.00804674044271129,0.00804674044271129,0.008923900803948845,0.008923900803948845,0.003308971219262259,0.003308971219262259,0.008972686185471585,0.008972686185471585,0.005470272542238405,0.005470272542238405,0.004178546077302603,0.004178546077302603,0.0007156771423309729,0.0007156771423309729,0.006467925816959058,0.006467925816959058,0.010350735776615843,0.010350735776615843,0.005953348156327957,0.005953348156327957,0.0023551582120113056,0.0023551582120113056,15,3
3,1,GtDeer_treatment_septum_4x_45.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,1242370,1242370,1666416,1666416,1200,1200,1398,1398,8,8,0,0,623.2204649178586,623.2204649178586,693.0822041742798,693.0822041742798,1.472171932853507,1.472171932853507,1288225,1288225,0.571913992221039,0.571913992221039,1257.7100672224199,1257.7100672224199,0,0,0.7455341283329012,0.7455341283329012,0.6792684860264266,0.6792684860264266,1400.9725851273167,1400.9725851273167,1398.331148190585,1398.331148190585,433.2020313895123,433.2020313895123,152.08249119787408,152.08249119787408,139.2838827718412,139.2838827718412,1136.8816074702877,1136.8816074702877,1149.2368504242943,1149.2368504242943,-8.761046990792396,-8.761046990792396,4794.128568148855,4794.128568148855,0.9644045100817016,0.9644045100817016,0.8067151276731681,0.8067151276731681,0.07602673343222685,0.07602673343222685,0.11695254991518154,0.11695254991518154,0.0589012855335167,0.0589012855335167,0.014131945433990234,0.014131945433990234,0.006565459982602845,0.006565459982602845,0.04221164671458527,0.04221164671458527,0.006325895391593965,0.006325895391593965,0.012023163252514946,0.012023163252514946,0.01583346997976341,0.01583346997976341,0.016964224238972234,0.016964224238972234,0.012860720454673388,0.012860720454673388,0.014892832383356192,0.014892832383356192,0.01765785919265398,0.01765785919265398,0.011991104717317808,0.011991104717317808,0.008617439187325042,0.008617439187325042,0.010400886551486221,0.010400886551486221,0.0043352105667846886,0.0043352105667846886,0.0022302041221347476,0.0022302041221347476,0.0072892578118515785,0.0072892578118515785,0.013194577630723474,0.013194577630723474,0.004412462402723748,0.004412462402723748,0.0020222310788437247,0.0020222310788437247,0.002235473312837883,0.002235473312837883,0.007746014598336529,0.007746014598336529,0.0025784714679272154,0.0025784714679272154,0.006281070820715158,0.006281070820715158,0.008533164013625357,0.008533164013625357,0.007759735133605154,0.007759735133605154,0.004709652130987363,0.004709652130987363,414,1
3,2,GtDeer_treatment_septum_4x_45.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,185,185,384,384,1220,1220,1398,1398,1204,1204,1374,1374,1214.2486486486487,1214.2486486486487,1389.6486486486488,1389.6486486486488,1.7394893683254387,1.7394893683254387,204,204,0.8745799785550148,0.8745799785550148,15.347615963921077,15.347615963921077,1,1,0.4817708333333333,0.4817708333333333,0.5748813520847639,0.5748813520847639,24.70291245654071,24.70291245654071,27.459060435491963,27.459060435491963,5.656854249492381,5.656854249492381,2.243719124470424,2.243719124470424,2.0,2.0,12.564158952579213,12.564158952579213,11.977979949624926,11.977979949624926,-25.818240750231414,-25.818240750231414,63.59188309203678,63.59188309203678,0.9068627450980392,0.9068627450980392,0.31239962304509955,0.31239962304509955,0.11323635227425839,0.11323635227425839,0.074170554993244,0.074170554993244,0.0460101574576694,0.0460101574576694,0.07093557559403493,0.07093557559403493,0.029177135016123446,0.029177135016123446,0.012713603611773832,0.012713603611773832,0.015498448557046775,0.015498448557046775,0.011674976964944541,0.011674976964944541,0.028279295734305036,0.028279295734305036,0.02818006126302195,0.02818006126302195,0.007227192130136486,0.007227192130136486,0.011309671740436254,0.011309671740436254,0.015419722076458352,0.015419722076458352,0.002335291514898896,0.002335291514898896,0.018379222184033216,0.018379222184033216,0.009122928070230076,0.009122928070230076,0.007677244674903441,0.007677244674903441,0.012578234150303574,0.012578234150303574,0.01347568666966253,0.01347568666966253,0.003313581578328191,0.003313581578328191,0.00839858372292169,0.00839858372292169,0.005367762184945493,0.005367762184945493,0.0013398397888437304,0.0013398397888437304,0.004976963855537325,0.004976963855537325,0.005923438685459413,0.005923438685459413,0.009149534190399,0.009149534190399,0.011358180751740669,0.011358180751740669,0.010553754491251378,0.010553754491251378,0.004505864617074716,0.004505864617074716,0,2
4,1,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,26001,26001,75320,75320,1205,1205,292,292,925,925,23,23,1070.731548786585,1070.731548786585,157.25910541902235,157.25910541902235,2.361237754995855,2.361237754995855,31070,31070,0.9602442034967004,0.9602442034967004,181.9491725803087,181.9491725803087,1,1,0.3452071163037706,0.3452071163037706,0.42350669596241286,0.42350669596241286,358.4597799583861,358.4597799583861,335.49068541466244,335.49068541466244,45.45327270945405,45.45327270945405,18.54371723196503,18.54371723196503,17.4928556845359,17.4928556845359,118.51106802027017,118.51106802027017,100.06812271781253,100.06812271781253,42.16871272554055,42.16871272554055,878.3544725075502,878.3544725075502,0.8368522690698423,0.8368522690698423,0.2927946946883617,0.2927946946883617,0.03335559391469004,0.03335559391469004,0.10588179911464532,0.10588179911464532,0.07686961512778737,0.07686961512778737,0.018973281317641224,0.018973281317641224,0.024023394189459146,0.024023394189459146,0.04793772361764288,0.04793772361764288,0.0449840685481029,0.0449840685481029,0.031807086963559515,0.031807086963559515,0.01116323868958018,0.01116323868958018,0.020271987482030258,0.020271987482030258,0.016121520992874394,0.016121520992874394,0.02889005085943025,0.02889005085943025,0.017897846268043475,0.017897846268043475,0.022376992779598683,0.022376992779598683,0.011503458437748536,0.011503458437748536,0.0071579020613453306,0.0071579020613453306,0.010508153355754607,0.010508153355754607,0.015653042051974347,0.015653042051974347,0.010541155752182896,0.010541155752182896,0.00597355091889846,0.00597355091889846,0.012852910738562954,0.012852910738562954,0.006615268170677334,0.006615268170677334,0.010022330047923396,0.010022330047923396,0.0037938461925516626,0.0037938461925516626,0.003431203723444244,0.003431203723444244,0.004935732735181008,0.004935732735181008,0.007764271093539224,0.007764271093539224,0.009378334042878338,0.009378334042878338,0.007097569025347948,0.007097569025347948,0,1
4,2,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,681546,681546,1167880,1167880,1221,1221,1077,1077,17,17,107,107,634.587936837719,634.587936837719,627.4239332341471,627.4239332341471,2.859748601648482,2.859748601648482,789053,789053,0.6537129264282233,0.6537129264282233,931.5424406628349,931.5424406628349,1,1,0.5835753673322601,0.5835753673322601,0.34968108714995333,0.34968108714995333,1154.888149732983,1154.888149732983,1216.6893605189453,1216.6893605189453,232.0021551624036,232.0021551624036,84.49714437971255,84.49714437971255,77.1621668954417,77.1621668954417,921.7646987837426,921.7646987837426,873.9530971287824,873.9530971287824,74.29281754688036,74.29281754688036,4948.988524566177,4948.988524566177,0.8637518645769042,0.8637518645769042,0.5862000771151297,0.5862000771151297,0.03401769565708543,0.03401769565708543,0.16694326871703422,0.16694326871703422,0.0563103560528113,0.0563103560528113,0.025772843070409838,0.025772843070409838,0.012470435074165754,0.012470435074165754,0.047977350319791945,0.047977350319791945,0.019678969914801444,0.019678969914801444,0.030559467524971053,0.030559467524971053,0.0261785640174186,0.0261785640174186,0.016309076955116415,0.016309076955116415,0.006709327361132116,0.006709327361132116,0.0288694711248078,0.0288694711248078,0.024334060096443864,0.024334060096443864,0.017151214874737718,0.017151214874737718,0.012283368433219461,0.012283368433219461,0.012928455498457964,0.012928455498457964,0.00680778879726731,0.00680778879726731,0.013029071695287166,0.013029071695287166,0.0046955618259293145,0.0046955618259293145,0.004437615791766797,0.004437615791766797,0.0035836310638982286,0.0035836310638982286,0.002205211113483548,0.002205211113483548,0.004700788735654092,0.004700788735654092,0.006738283834430683,0.006738283834430683,0.0012992345517053108,0.0012992345517053108,0.0016185274578454437,0.0016185274578454437,0.007935330917424823,0.007935330917424823,0.009079608244752494,0.009079608244752494,0.0038087574864066175,0.0038087574864066175,10,2
4,3,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,5554,5554,9656,9656,1000,1000,276,276,932,932,134,134,960.7353258912495,960.7353258912495,214.3770255671588,214.3770255671588,2.007708202970082,2.007708202970082,6592,6592,0.9394083997560597,0.9394083997560597,84.0926419578972,84.0926419578972,1,1,0.5751864125932062,0.5751864125932062,0.4980803477919054,0.4980803477919054,155.12983926031504,155.12983926031504,144.15616532080756,144.15616532080756,26.248809496813376,26.248809496813376,9.81621957995959,9.81621957995959,8.54400374531753,8.54400374531753,55.14458818325647,55.14458818325647,53.178513077112186,53.178513077112186,14.25314417810523,14.25314417810523,374.3330444827409,374.3330444827409,0.8425364077669902,0.8425364077669902,0.340290285908238,0.340290285908238,0.04911198772485744,0.04911198772485744,0.10592506616602249,0.10592506616602249,0.09015585741905503,0.09015585741905503,0.03987840616826768,0.03987840616826768,0.011039386730664938,0.011039386730664938,0.024178053702626212,0.024178053702626212,0.04724851524040633,0.04724851524040633,0.03967426367837792,0.03967426367837792,0.028461856509206778,0.028461856509206778,0.009866515077712565,0.009866515077712565,0.002922202387975849,0.002922202387975849,0.015650187851187138,0.015650187851187138,0.004574486520209966,0.004574486520209966,0.0228511028788955,0.0228511028788955,0.01882694481919121,0.01882694481919121,0.015261911826925824,0.015261911826925824,0.007714845997478885,0.007714845997478885,0.008335000879862121,0.008335000879862121,0.0027480509821846792,0.0027480509821846792,0.003676353763634335,0.003676353763634335,0.007302919786130819,0.007302919786130819,0.006794596485352421,0.006794596485352421,0.007231441674729579,0.007231441674729579,0.009371966120732603,0.009371966120732603,0.0030496685450951593,0.0030496685450951593,0.0023926049683489123,0.0023926049683489123,0.006756601091623412,0.006756601091623412,0.008172019018483734,0.008172019018483734,0.003087228428302339,0.003087228428302339,1,3
